HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Breeze",2017,"w"
"Brembo",2010,"m"
"Brenda (Aurora)",2008,"w"
"Brendan",2008,"m"
"Bretzel (Xiro)",2017,"m"
"Briar Hill's Kimmy",2007,"m"
"Briciola",2002,"w"
"Briciola",2006,"w"
"Brio",2007,"m"
"Briscilla",2012,"w"
"Britta",2005,"w"
"Britta",2010,"w"
"Britto Nina",2016,"w"
"Bro",2012,"m"
"Broccoli",2005,"m"
"Brok",2010,"m"
"Bronco",2016,"m"
"Brooke",2009,"w"
"Brooklyn",2015,"w"
"Brownie",2011,"m"
"Brownie",2015,"m"
"Brownie",2016,"m"
"Brownie",2018,"w"
"Browny",2009,"m"
"Bruce",2015,"m"
"Bruce",2018,"m"
"Bruce",2012,"m"
"Bruce (Tysson)",2011,"m"
"Bruce (Wels Fargo)",2009,"m"
"Brumi",2004,"m"
"Bruna",2016,"w"
"Bruno",2014,"m"
"Bruno",2016,"m"
"Bruno",2015,"m"
"Bruno",2017,"m"
"Bruno",2014,"m"
"Bruno",2013,"m"
"Bruno",2007,"m"
"Bruno (Bobby)",2016,"m"
"Bruno (Ramsès)",2016,"m"
"Brutus",2018,"m"
"Brutus vom goldenen Kelsch",2011,"m"
"Brünett",2015,"w"
"BuBu",2018,"m"
"Buba",2001,"w"
"Buba (Muffin)",2016,"m"
"Bubi",2006,"m"
"Bubi",2011,"m"
"Bubi-Verni",2008,"m"
"Bubu",2014,"m"
"Bubu",2008,"m"
"Bubu",2009,"m"
"Bubu",2018,"m"
"Bubu",2011,"w"
"Bucca",2007,"w"
"Buccio",2012,"m"
"Buchi",2004,"m"
"Buchica",2005,"w"
"Bucho",2010,"m"
"Buco",2010,"m"
"Buda",2006,"m"
"Buddha",2004,"m"
"Buddy",2012,"m"
"Buddy",2018,"m"
"Buddy",2014,"m"
"Buddy",2009,"m"
"Buddy",2011,"m"
"Buddy",2014,"m"
"Buddy",2008,"m"
"Buddy",2009,"m"
"Buddy",2013,"m"
"Buddy",2014,"m"
"Buddy",2013,"m"
"Buddy",2016,"m"
"Buddy",2016,"m"
"Buddy",2016,"m"
"Budy",2015,"m"
"Buebli Nacho",2017,"m"
"Buffy",2009,"w"
"Buffy",2016,"w"
"Buffy Bella",2016,"w"
"Bufo",2013,"m"
"Buggy",2016,"m"
"Bugsy",2013,"m"
"Buju von Haselberg",2019,"m"
"Bunga",2005,"w"
"Bunia",2013,"w"
"Bunny",2010,"w"
"Buran v. Kreuzberger Hof",2008,"m"
"Burbuja",2008,"w"
"Buri",2007,"w"
"Buscheli",2009,"w"
"Busik",2012,"m"
"Buster",2010,"m"
"Buster",2011,"m"
"Buster",2015,"m"
"Buster",2014,"m"
"Busya",2014,"w"
"Butch",2015,"m"
"Butch",2005,"m"
"Butterfly of the Irish Hl",2011,"w"
"Butz",2008,"m"
"Butzi Wilma",2015,"w"
"Butzzi",2016,"m"
"Buzz",2007,"m"
"Byetti",2011,"w"
"Bänz (Eros)",2010,"m"
"Bär",2005,"m"
"Bärli",2012,"m"
"Bébé",2005,"m"
"C'est Ci Bonne",2009,"w"
"CHulla Nena",2018,"w"
"Cacau (Chubby)",2012,"m"
"Cachaca",2013,"w"
"Cachou",2008,"w"
"Caesar",2018,"m"
"Caia (Estelle)",2009,"w"
"Caila",2008,"w"
"Caillou",2018,"m"
"Caipi",2018,"m"
"Caipirhna`s One Hot Minute (Mi",2012,"w"
"Cairo",2015,"m"
"Caja",2010,"w"
"Cajou",2016,"w"
"Cajus",2012,"m"
"Cakil",2011,"m"
"Calan",2009,"m"
"Cali",2012,"w"
"Calimera",2017,"w"
"Calimero",2013,"m"
"Calimero",2010,"m"
"Calinda",2016,"w"
"Caline",2016,"w"
"Calinero",2013,"m"
"Caliope",2013,"w"
"Camila",2018,"w"
"Camilla",2001,"w"
"Camino",2004,"m"
"Camino",2014,"m"
"Camira",2013,"w"
"Cammy",2013,"w"
"Candy",2018,"w"
"Candy",2005,"w"
"Candy",2007,"w"
"Candy",2018,"w"
"Candy",2015,"w"
"Candy ",2011,"w"
"Candy (Mara)",2014,"w"
"Candy Beggar II",2013,"m"
"Candy vom Wolfszauber",2013,"w"
"Canela",2014,"w"
"Canela",2014,"w"
"Canelle",2007,"w"
"Canggu",2016,"m"
"Canica",2013,"w"
"Cannelle",2012,"w"
"Cano",2007,"m"
"Cansu",2009,"w"
"Capi",2007,"w"
"Capitan",2004,"m"
"Capo Stubborn Fellow",2017,"m"
"Capo Wayn",2016,"m"
"Capo v. Studerwilen",2009,"m"
"Capone",2006,"m"
"Capu (Cuantico-Doue)",2013,"m"
"Capuchina",2016,"w"
"Cara",2011,"w"
"Cara",2013,"w"
"Caramel (Angel)",2012,"w"
"Caramel's Valiant Vicco",2017,"m"
"Caramelli",2018,"w"
"Caramelo",2018,"m"
"Carbonne",2017,"w"
"Caremel",2017,"m"
"Carino",2002,"m"
"Carla",2008,"w"
"Carla",2016,"w"
"Carlito Luis",2018,"m"
"Carlitos",2010,"m"
"Carlitos",2009,"m"
"Carlos",2018,"m"
"Carlos",2008,"m"
"Carlota Grizzle",2018,"w"
"Carly",2012,"m"
"Carmel",2008,"m"
"Carmelita",2014,"w"
"Carmella",2004,"w"
"Carmi",2014,"w"
"Carol",2016,"w"
"Carola",2018,"w"
"Carrie",2004,"w"
"Carry",2014,"w"
"Caruso",2004,"m"
"Caruso",2009,"m"
"Casa Rastys Bonito Bicho",2015,"m"
"Casanova",2005,"m"
"Casey",2014,"m"
"Casey",2018,"w"
"Casey Chaya",2015,"w"
"Cash",2012,"m"
"Casima",2011,"w"
"Casimo",2011,"m"
"Caspar Lou",2018,"m"
"Casper",2009,"m"
"Casper",2014,"m"
"Cassio",2012,"m"
"Cassis",2016,"w"
"Cassius",2007,"m"
"Cassy (Kassady little rose)",2007,"w"
"Castro",2010,"m"
"Catalina",2006,"w"
"Cato",2009,"m"
"Cato",2007,"m"
"Caviperro Eron",2015,"m"
"Caviperro Khasib",2018,"m"
"Cayman Turkish Diamond",2016,"m"
"Ceila",2005,"w"
"Celaya",2013,"w"
"Celebrita Balmoral M.",2016,"w"
"Celia",2012,"w"
"Celia",2012,"w"
"Celine",2007,"w"
"Celis",2007,"w"
"Cenndy",2012,"w"
"Cert",2008,"m"
"Cesar",2012,"m"
"Cesar",2012,"m"
"Cesare",2017,"m"
"Cezar",2018,"m"
"Chabo",2016,"m"
"Chadisha Nanouk",2009,"w"
"Chai",2006,"w"
"Chai",2016,"m"
"Chai",2012,"w"
"Chakori",2015,"m"
"Chalia",2003,"w"
"Champ",2013,"m"
"Champ (Artie)",2018,"m"
"Chan (Phoenix)",2015,"m"
"Chance",2014,"m"
"Chandays Aira",2016,"w"
"Chanel",2004,"w"
"Chanel",2013,"w"
"Chanel",2012,"w"
"Chanel",2014,"w"
"Chanel",2013,"w"
"Chanel",2011,"w"
"Chanel",2016,"w"
"Chanel",2009,"w"
"Chanel",2013,"w"
"Chanelle",2012,"w"
"Channel",2015,"w"
"Channel",2010,"w"
"Chantal",2014,"w"
"Chaos",2005,"m"
"Chap",2015,"m"
"Chaplin",2014,"m"
"Chaplin",2016,"m"
"Chara",2016,"w"
"Charlet",2007,"w"
"Charlie",2011,"m"
"Charlie",2008,"m"
"Charlie",2006,"m"
"Charlie",2011,"m"
"Charlie",2006,"m"
"Charlie",2014,"m"
"Charlie",2018,"m"
"Charlie",2014,"m"
"Charlie",2012,"w"
"Charlie",2014,"m"
"Charlie",2011,"m"
"Charlie",2013,"m"
"Charlie",2012,"m"
"Charlie",2016,"m"
"Charlie (Milka)",2006,"w"
"Charlie (Taro)",2011,"m"
"Charlina",2012,"w"
"Charlo",2015,"m"
"Charlotte",2014,"w"
"Charly",2010,"m"
"Charly",2018,"m"
"Charly",2009,"m"
"Charly",2006,"m"
"Charly",2012,"m"
"Charly",2011,"m"
"Charly",2012,"m"
"Charly",2007,"m"
"Charly",2006,"m"
"Charly",2004,"m"
"Charly",2005,"m"
"Charly",2015,"m"
"Charly",2014,"m"
"Charly",2016,"m"
"Charly",2017,"w"
"Charly",2016,"m"
"Charly",2008,"m"
"Charly (Carletto)",2011,"m"
"Charly v. Kopfrein",2018,"m"
"Charlyn",2011,"w"
"Charo",2007,"w"
"Chaska",2012,"m"
"Chasni",2012,"w"
"Chasper",2018,"m"
"Chatito",2011,"m"
"Chavez",2014,"m"
"Chaya",2009,"w"
"Chayenne",2011,"w"
"Chayenne",2016,"w"
"Che (Bandit)",2014,"m"
"Chedi",2005,"m"
"Chegue",2005,"m"
"Chei-Lee",2016,"w"
"Chela",2009,"w"
"Chelsea",2010,"w"
"Chelsea",2012,"w"
"Chelsey",2010,"w"
"Cheri",2008,"m"
"Cherie",2018,"w"
"Cherie (Merlin Boy)",2011,"m"
"Cheronimo Fleur de feu",2016,"m"
"Cherry",2010,"w"
"Chester",2012,"m"
"Chester",2012,"m"
"Chester",2014,"m"
"Chester",2014,"m"
"Chester",2003,"m"
"Chester",2017,"m"
"Chester",2018,"m"
"Chester Maufer ",2011,"m"
"Chester von den Haslizwergen",2010,"m"
"Chewbacca",2012,"w"
"Chewbacca",2014,"m"
"Chewbacca (Chewie)",2017,"m"
"Chewie",2017,"m"
"Chewie",2016,"m"
"Chewie",2017,"m"
"Chewy",2013,"w"
"Cheyenne",2008,"w"
"Cheyenne",2009,"w"
"Cheyenne (Caisy)",2018,"w"
"ChiChi",2012,"w"
"Chiara",2006,"w"
"Chiara",2007,"w"
"Chiara",2012,"w"
"Chiara",2009,"w"
"Chiara",2003,"w"
"Chiara",2007,"w"
"Chiara",2007,"w"
"Chiara",2006,"w"
"Chiara",2008,"w"
"Chiara Nora ",2010,"w"
"Chibi",2010,"w"
"Chica",2007,"w"
"Chica",2004,"w"
"Chica",2005,"w"
"Chica",2015,"w"
"Chica",2008,"w"
"Chica",2002,"w"
"Chica",2011,"w"
"Chica",2009,"w"
"Chica",2008,"w"
"Chica",2014,"w"
"Chica",2015,"w"
"Chicao",2006,"m"
"Chicca",2003,"w"
"Chicca",2010,"w"
"Chicca",2009,"w"
"Chicca",2010,"w"
"Chicca",2015,"w"
"Chicca",2013,"w"
"Chicca",2018,"w"
"Chicco",2018,"m"
"Chicco",2018,"m"
"Chicco",2018,"m"
"Chicco",2011,"m"
"Chicco",2015,"m"
"Chicco",2010,"m"
"Chicco",2013,"m"
"Chicco",2009,"m"
"Chicco",2011,"m"
"Chicco",2010,"m"
"Chicco",2008,"m"
"Chicco",2003,"m"
"Chicco",2004,"m"
"Chicco",2004,"m"
"Chicco",2005,"m"
"Chicco",2005,"m"
"Chicco",2005,"m"
"Chicky (Titty)",2016,"w"
"Chico",2004,"m"
"Chico",2008,"m"
"Chico",2008,"m"
"Chico",2010,"m"
"Chico",2008,"m"
"Chico",2014,"m"
"Chico",2016,"m"
"Chico",2015,"m"
"Chico",2008,"m"
"Chico",2017,"m"
"Chico",2004,"m"
"Chico",2007,"m"
"Chico",2011,"m"
"Chico",2003,"m"
"Chico",2009,"m"
"Chief",2017,"m"
"Chienne",2015,"w"
"Chigi",2009,"w"
"Chigo",2017,"m"
"Chila",2013,"w"
"Chila",2008,"w"
"Chili",2018,"m"
"Chili",2007,"w"
"Chili",2015,"w"
"Chili",2005,"w"
"Chili",2017,"w"
"Chili",2016,"m"
"Chili",2003,"w"
"Chili",2014,"m"
"Chili (Heidi)",2017,"w"
"Chili (Lea)",2008,"w"
"Chili (Superflys Obsession)",2008,"m"
"Chili of Funny Paws",2011,"w"
"Chilli",2017,"w"
"Chilli",2007,"w"
"Chilli",2005,"w"
"Chilli",2010,"w"
"Chilli",2015,"m"
"Chilly",2008,"w"
"Chilly",2017,"w"
"Chilly",2017,"m"
"Chilly",2007,"w"
"Chilly",2003,"w"
"Chilly",2010,"w"
"Chilly (Zamaoria)",2008,"w"
"Chime",2008,"m"
"Chinchilli",2012,"w"
"Chini",2011,"w"
"Chino",2009,"m"
"Chipa (Carmina)",2011,"w"
"Chipi",2009,"m"
"Chips",2007,"w"
"Chips",2005,"w"
"Chipsi",2004,"w"
"Chipsy",2012,"w"
"Chipsy",2015,"w"
"Chiquinho",2008,"m"
"Chiquita (Bambi)",2009,"w"
"Chispa",2001,"w"
"Chispi",2016,"w"
"Chiuma",2004,"w"
"Chivas of Greenparadise",2010,"m"
"Chiya",2009,"w"
"Chiyo",2012,"w"
"Chloé",2011,"w"
"Chloé",2006,"w"
"Chloë",2016,"w"
"Choco",2014,"m"
"Choco",2005,"m"
"Chocolat",2007,"w"
"Chocolate",2011,"m"
"Choise",2006,"w"
"Choko",2010,"w"
"Chooper",2013,"m"
"Chopin (Chaos Viwabis)",2017,"m"
"Chopper",2017,"m"
"Chorizo",2004,"m"
"Chou-Chou",2011,"w"
"Chris",2012,"m"
"Chris",2005,"m"
"Chrystal",2015,"w"
"Chuckle",2008,"w"
"Chucky",2007,"m"
"Chula (Naomi)",2008,"w"
"Chule",2012,"m"
"Chulo",2010,"m"
"Chuma",2012,"m"
"Chupa",2015,"m"
"Churchill (Maki von Càk)",2007,"m"
"Chusca",2013,"w"
"Chuy",2010,"m"
"Chyna von Black-Daimen",2012,"w"
"Ché",2014,"m"
"Cia Amari",2013,"w"
"Ciara",2005,"w"
"Ciara",2013,"w"
"Cibai (Urumci",2008,"w"
"Ciccio",2012,"m"
"Ciccio",2012,"m"
"Cicco",2014,"m"
"Cicero",2016,"m"
"Cici",2010,"m"
"Cici (Inca)",2008,"w"
"Cici Leone",2008,"m"
"Cico",2017,"m"
"Cico",2011,"m"
"Cid",2013,"m"
"Cikito",2008,"m"
"Cili (Clooney vom Sunnepaerkli",2016,"m"
"Cima",2015,"w"
"Cin-tsha",2005,"w"
"Cina",2015,"w"
"Cinamon",2006,"w"
"Cinderella",2006,"w"
"Cindy",2008,"w"
"Cindy",2008,"w"
"Cindy",2010,"w"
"Cindy",2009,"w"
"Cindy",2004,"w"
"Cindy",2007,"w"
"Cindy",2008,"w"
"Cindy",2013,"w"
"Cindy",2015,"w"
"Cindy (Yoko)",2018,"w"
"Cinthia ",2010,"w"
"Cintia Cindy",2017,"w"
"Cinzia",2008,"w"
"Cirby v. Försterhaus",2007,"m"
"Cirillo",2007,"m"
"Ciro",2013,"m"
"Cissy Fleur du Soleil",2012,"w"
"Cito",2014,"m"
"Clara",2014,"w"
"Clara",2007,"w"
"Clark",2008,"m"
"Claude",2018,"m"
"Cle",2013,"w"
"Cleo",2011,"w"
"Cleo",2003,"w"
"Clever Girl Cinta",2008,"w"
"Clia",2014,"w"
"Cliford",2011,"m"
"Clio",2018,"w"
"Clio von der weissen Wolke",2005,"w"
"Cloe",2009,"w"
"Clyde",2018,"m"
"Cobalt ",2007,"m"
"Cobi",2015,"m"
"Cobie of Summer Snow",2018,"w"
"Coca",2006,"w"
"Cocco (Sunboy)",2008,"m"
"Coco",2011,"w"
"Coco",2012,"m"
"Coco",2010,"w"
"Coco",2011,"w"
"Coco",2013,"m"
"Coco",2007,"w"
"Coco",2003,"w"
"Coco",2010,"w"
"Coco",2003,"w"
"Coco",2018,"m"
"Coco",2010,"m"
"Coco",2018,"w"
"Coco",2018,"m"
"Coco",2016,"w"
"Coco",2016,"w"
"Coco",2017,"w"
"Coco",2017,"w"
"Coco",2015,"w"
"Coco",2010,"m"
"Coco",2013,"w"
"Coco",2010,"m"
"Coco",2016,"m"
"Coco",2017,"w"
"Coco",2014,"m"
"Coco",2008,"w"
"Coco",2008,"m"
"Coco",2013,"m"
"Coco",2014,"w"
"Coco (Pickwick Hi Coco)",2016,"w"
"Coco (Sindi)",2016,"w"
"Coco (Yuna)",2018,"w"
"Coco Chanel",2015,"w"
"Coco Chanel",2010,"w"
"Coco Zita von Pfaffenwinkel",2015,"w"
"Coco v.d. Heiligen Pfählen",2016,"w"
"Coco von Heembach",2011,"w"
"Coco-Loco (Brioni)",2017,"m"
"Cocolino",2010,"m"
"Cocotte",2016,"w"
"Cody",2008,"m"
"Cody (Captain Luka High Hopes)",2006,"m"
"Coja-Maiko vom Tödiblick",2007,"w"
"Coki",2017,"m"
"Cokito",2014,"m"
"Cola",2010,"w"
"Cola",2008,"m"
"Colani",2009,"m"
"Collin",2009,"m"
"Colombo",2004,"m"
"Comete",2016,"w"
"Conan",2009,"m"
"Connor",2007,"w"
"Coockie",2006,"w"
"Coockie",2017,"m"
"Cookie",2014,"m"
"Cookie",2008,"m"
"Cookie",2013,"w"
"Cookie",2017,"w"
"Cookie",2016,"w"
"Cookie",2006,"m"
"Cookie (Carla)",2012,"w"
"Cooper",2011,"m"
"Cooper",2011,"m"
"Cooper",2010,"m"
"Cooper",2018,"m"
"Cooper",2013,"m"
"Cooper",2015,"m"
"Cooper",2013,"m"
"Cooper vom Sonnenhügel",2010,"m"
"Copia",2007,"w"
"Copita",2018,"w"
"Copito",2015,"m"
"Copito",2017,"m"
"Copper",2017,"w"
"Coqui",2007,"m"
"Cora",2008,"w"
"Cora",2018,"w"
"Cora",2013,"w"
"Cora",2007,"w"
"Cori (Corina)",2007,"w"
"Corin",2007,"w"
"Corona",2007,"w"
"Cosima",2013,"w"
"Cosimo (Karo Keno)",2017,"m"
"Cosita",2007,"w"
"Cosita",2012,"w"
"Cosmo",2004,"m"
"Cotton",2015,"w"
"Cowboy Bill von Wasaland",2012,"m"
"Cristal",2008,"w"
"Crosby",2016,"w"
"Crystal",2008,"w"
"Csaba",2015,"m"
"Csaba",2015,"m"
"Csali",2011,"w"
"Csibesz",2016,"m"
"Csillag (Havy)",2016,"w"
"Csodas",2009,"m"
"Csutak",2007,"w"
"Cuba",2007,"w"
"Cuba",2013,"w"
"Cuba vom Isern Hinnerk",2018,"w"
"Cuba-Emma",2017,"w"
"Cucika",2012,"w"
"Cumbia",2006,"w"
"Curly",2004,"w"
"Curly Timmy von Happy Season",2009,"m"
"Curro",2007,"m"
"Cute",2014,"w"
"Cute Holly von Inngold",2018,"w"
"Cuzco",2013,"m"
"Cymba",2018,"w"
"Cyros de Vulcain",2007,"m"
"Cyrus",2014,"m"
"Cäcilia vom Georgisberg",2012,"w"
"Cäli",2013,"w"
"Cäsar",2010,"m"
"Cäsi",2003,"w"
"Céline",2013,"w"
"Cézanne",2012,"m"
"Cézanne Anuk Etoile des filous",2015,"m"
"D'Lulu",2007,"w"
"DJ",2012,"m"
"DJ (Winni)",2015,"w"
"Da Lila Dublin von Fricktal",2012,"w"
"Da-Shang of Taiga's Dream",2009,"m"
"Dabu",2007,"m"
"Dada",2009,"w"
"Daffinee",2005,"w"
"Daffy (Daphne von Flolama)",2013,"w"
"Dafy",2014,"w"
"Dago",2013,"m"
"Dahja",2009,"w"
"Daho",2008,"m"
"Daida Silver Fort",2017,"w"
"Daima (Diamond in the Sky )",2010,"w"
"Daimen (Eiri)",2016,"m"
"Dain Dido del Arco di Rosa",2010,"w"
"Daisy",2018,"w"
"Daisy",2010,"w"
"Daisy",2018,"w"
"Daisy",2010,"w"
"Daisy",2015,"w"
"Daisy",2018,"w"
"Daisy",2011,"w"
"Daisy",2006,"w"
"Daisy",2003,"w"
"Daisy",2012,"w"
"Daisy",2010,"w"
"Daisy",2011,"m"
"Daisy",2013,"w"
"Daisy",2015,"w"
"Daisy",2009,"w"
"Daisy",2011,"w"
"Daisy",2015,"w"
"Daisy",2015,"w"
"Daisy",2016,"w"
"Daisy",2010,"w"
"Daisy",2009,"w"
"Daisy",2008,"w"
"Daisy  Desirée Rainerschlössel",2011,"w"
"Daisy (Princesse)",2018,"w"
"Daisy-Gold",2012,"w"
"Daitan",2014,"m"
"Dakota",2015,"w"
"Dali",2008,"m"
"Dali",2013,"m"
"Dalida",2010,"w"
"Dalina",2013,"w"
"Dallas",2014,"w"
"Dallas Cowboy",2016,"m"
"Dalmor (Vannilla)",2006,"w"
"Damasco",2016,"m"
"Dameer",2008,"m"
"Damina",2015,"w"
"Dana",2014,"w"
"Dana Esperanza",2005,"w"
"Dana Reichsgrafen von Velen",2012,"w"
"Danai",2014,"w"
"Danan",2014,"m"
"Dandee of Black Devils",2015,"m"
"Dani",2000,"m"
"Danica",2007,"w"
"Danjo",2005,"m"
"Dante",2011,"m"
"Dante",2006,"m"
"Dante",2017,"m"
"Dante",2018,"m"
"Daphne",2018,"w"
"Daphne  (Deema)",2007,"w"
"Darina Levana",2015,"w"
"Darko",2016,"m"
"Darleen",2009,"w"
"Darush",2011,"m"
"Darwin",2009,"m"
"Darwin",2017,"m"
"Dascha",2018,"w"
"Dasenk",2008,"w"
"Dashka",2017,"w"
"Daska",2010,"w"
"Dasso",2009,"m"
"Dave",2016,"m"
"Davor",2014,"m"
"Davy",2012,"m"
"Daylight vom Wolfszauber",2016,"w"
"De Niro",2010,"m"
"De Niro",2008,"m"
"De of Amar",2015,"w"
"Dea",2009,"w"
"Deamon",2017,"m"
"Debby",2017,"w"
"Debora (Milly)",2009,"w"
"Decus",2007,"m"
"Dedo",2010,"m"
"Deija",2006,"w"
"Deju De Gotca",2018,"m"
"Delia",2013,"w"
"Delia von den Elfchen",2017,"w"
"Delilah",2012,"w"
"Delora",2012,"w"
"Delphi",2016,"w"
"Demba",2009,"w"
"Demon",2017,"m"
"Denis",2007,"m"
"Despina",2006,"w"
"Destiny",2005,"w"
"Devis",2004,"m"
"Dexter",2009,"m"
"Dexter",2010,"m"
"Dexter",2013,"m"
"Dexter",2013,"m"
"Dexter",2018,"m"
"Dexter",2018,"m"
"Dextr ler Gopo",2015,"m"
"Dharma",2009,"m"
"Di Nero vom Pommerle",2017,"m"
"Diabolo",2005,"m"
"Diamond",2012,"m"
"Diamond (Devil)",2015,"m"
"Diamonds of Taylor Miro",2015,"m"
"Diana",2007,"w"
"Diana",2017,"w"
"Diana",2003,"w"
"Diane",2011,"w"
"Diavola",2018,"w"
"Dick",2016,"m"
"Dickie",2012,"m"
"Didi",2007,"m"
"Didi",2013,"w"
"Didi",2004,"w"
"Dido",2005,"m"
"Diego",2012,"m"
"Diego",2016,"m"
"Diego",2018,"m"
"Diego Rivera",2009,"m"
"Diesel",2008,"m"
"Dijonne",2015,"w"
"Dika",2011,"w"
"Dilina",2014,"w"
"Dilly",2012,"w"
"Diluna's Bagheera Chloe",2008,"w"
"Dimitri",2005,"w"
"Dina",2008,"w"
"Dina",2013,"w"
"Dina",2012,"w"
"Dina",2010,"w"
"Dina",2014,"w"
"Dina (Daisuki Inochi)",2014,"w"
"Dingo",2005,"m"
"Dingo",2013,"m"
"Dino",2013,"m"
"Dino",2001,"m"
"Dino",2009,"m"
"Dino",2008,"m"
"Dino",2011,"m"
"Dino",2016,"m"
"Dino",2005,"m"
"Dino Angelo",2017,"m"
"Dino vom Tierfeld",2010,"m"
"Dio",2013,"m"
"Dion",2012,"m"
"Dionys Brutus Velica",2018,"m"
"Dior",2018,"m"
"Dior",2015,"m"
"Diores",2016,"m"
"Dipsy",2012,"w"
"Dirk von Schweizersholz",2016,"m"
"Disco",2018,"m"
"Disco-Stewie of Clement",2018,"m"
"Disney",2013,"w"
"Dita (Perdita)",2004,"w"
"Ditus",2012,"m"
"Diva",2016,"w"
"Diva",2018,"w"
"Diva",2008,"w"
"Diva",2013,"w"
"Diva",2007,"w"
"Diva",2009,"w"
"Diva",2009,"w"
"Diva Sina",2007,"w"
"Divi",2015,"w"
"Dixi",2006,"w"
"Djahan",2010,"m"
"Djamila",2014,"w"
"Django",2017,"m"
"Django",2017,"m"
"Django",2016,"m"
"Django",2013,"m"
"Django",2017,"m"
"Djego",2013,"m"
"Djira",2005,"w"
"Djuce",2011,"m"
"Djuni",2010,"w"
"Dobby",2012,"m"
"Dobby",2018,"m"
"Dobri",2015,"m"
"Dodo",2012,"m"
"Dodo",2013,"m"
"Dodo",2011,"m"
"Dodo",2011,"w"
"Dodo",2014,"w"
"Dolce",2008,"w"
"Dolce",2012,"m"
"Dolce Vita Life (Bubi)",2016,"m"
"Dolli",2013,"w"
"Dolly",2017,"w"
"Dolly",2013,"w"
"Dolly sweet Girl",2015,"w"
"Domino",2012,"m"
"Domino",2013,"m"
"Domino",2012,"m"
"Don",2012,"m"
"Don",2012,"m"
"Don Camillo",2018,"m"
"Don Carlos",2018,"m"
"Don Conchito Nata Mancha",2018,"m"
"Don't Stop Til U Get It HP",2018,"m"
"Don-Vito",2018,"m"
"Dona",2009,"w"
"Dona",2006,"w"
"Dona (Donatella d'Abundo)",2008,"w"
"Donna",2015,"w"
"Donna",2008,"w"
"Dora",2015,"w"
"Dora",2014,"w"
"Doreen",2005,"w"
"Dori",2016,"w"
"Dori",2010,"w"
"Doris",2005,"w"
"Doros (Moritz)",2009,"m"
"Dottie",2011,"w"
"Dotty",2014,"w"
"Douglas",2009,"m"
"Douky (Bejou)",2011,"m"
"Dover",2013,"m"
"Dr. Maris",2009,"w"
"Dre",2017,"m"
"Dre (Kung-Fu Panda Rütlihalde)",2016,"m"
"Dreamfields Peaches",2016,"w"
"Dreams",2008,"m"
"Droopy",2008,"m"
"Drunken Carlino",2009,"m"
"Drüü",2009,"w"
"Dschin-Dschi",2011,"w"
"Duchessa",2006,"w"
"Duchesse",2014,"w"
"Dude",2013,"m"
"Duffy",2008,"w"
"Duffy",2009,"w"
"Duke",2012,"m"
"Duke",2018,"m"
"Duke",2016,"m"
"Duke",2010,"m"
"Duke",2015,"m"
"Duke",2007,"m"
"Duki",2010,"m"
"Duma",2009,"w"
"Duma (Resi v. Riethof)",2013,"w"
"Dunga",2010,"m"
"Dunja von Auenland",2012,"w"
"Duque",2016,"m"
"Duque",2008,"m"
"Duran vom Wolfsstern",2010,"m"
"Dusja",2014,"w"
"Dusky",2010,"m"
"Dustin",2016,"m"
"Dusty",2002,"m"
"Dusty vom Wolfszauber",2016,"m"
"Dwayne",2012,"m"
"Dyana'Lys Born To Be Live",2009,"w"
"Dylan",2008,"m"
"Dylan",2008,"m"
"Dylan ",2014,"m"
"Dylan (Carlos)",2009,"m"
"Dyra von Eichblatt",2009,"w"
"Dzhigan",2015,"m"
"Délos",2003,"m"
"Düse (Sunny)",2006,"w"
"E-IMI",2009,"w"
"Eames (Bubbel)",2009,"w"
"Earl",2017,"m"
"Earl",2014,"m"
"Eazy",2016,"m"
"Ebby",2014,"w"
"Eco",2014,"m"
"Edda",2007,"w"
"Eddie",2016,"m"
"Eddie",2011,"m"
"Eddy",2016,"m"
"Eddy",2010,"m"
"Edgar",2009,"m"
"Edgar",2009,"m"
"Edi",2010,"m"
"Edison v. Burg Schwärtzenberg",2012,"m"
"Edna Chiara",2015,"w"
"Eduardo Durango",2016,"m"
"Edy",2007,"m"
"Edy",2016,"m"
"Eesha",2007,"w"
"Effi v. Hoppiho",2006,"w"
"Egon",2012,"m"
"Egon",2010,"m"
"Eick",2009,"m"
"Eiji",2016,"m"
"Eika ",2008,"w"
"Eika vom Reistelkopf",2014,"w"
"Eiko",2002,"m"
"Eiko",2007,"m"
"Eiko",2010,"m"
"Eiko (Scalloway's ) (Edor)",2008,"m"
"Eila",2010,"w"
"Einstein",2013,"m"
"Einstein",2011,"m"
"Einstein",2014,"m"
"Eira",2005,"w"
"Eisha (Orianna)",2017,"w"
"Eivy",2005,"w"
"Ela",2010,"w"
"Elafonisi",2016,"w"
"Elay",2018,"m"
"Electra",2017,"w"
"Elena",2007,"w"
"Elfie",2014,"w"
"Eli",2015,"w"
"Eli (Eleonore)",2013,"w"
"Elia",2008,"m"
"Eliana",2013,"w"
"Elias",2018,"m"
"Elie",2009,"w"
"Eligius",2016,"m"
"Elijah",2011,"m"
"Elina",2017,"w"
"Elina",2010,"w"
"Elio (Erkki)",2011,"m"
"Eliot",2017,"m"
"Eliot",2008,"m"
"Elisa",2014,"w"
"Elisabeth",2016,"w"
"Eliza",2017,"w"
"Ella",2010,"w"
"Ella",2015,"w"
