HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Amora",2012,"w"
"Amore",2010,"w"
"Amore mio",2010,"m"
"Amos",2016,"m"
"Amos",2017,"m"
"Amos",2015,"m"
"Amos",2012,"m"
"Amos (Strolchi)",2006,"m"
"Amour",2012,"m"
"Amour",2010,"m"
"Amun",2013,"m"
"Amy",2018,"w"
"Amy",2015,"w"
"Amy",2014,"w"
"Amy",2017,"w"
"Amy",2010,"w"
"Amy",2010,"w"
"Amy",2015,"w"
"Amy",2010,"w"
"Amy",2008,"w"
"Amy",2010,"w"
"Amy",2011,"w"
"Amy",2005,"w"
"Amy Butterfly",2017,"w"
"Amy-Siu-Siu",2010,"w"
"Amélie-Milly",2017,"w"
"Anat",2012,"w"
"Ancalagon",2013,"m"
"Ando",2016,"m"
"Andora",2004,"w"
"Andorra",2018,"w"
"Andra",2013,"w"
"Andy",2005,"m"
"Ane",2010,"w"
"Angel",2016,"w"
"Angel",2014,"w"
"Angel",2006,"w"
"Angel",2009,"m"
"Angel (Sisi)",2015,"w"
"Angel Face",2013,"w"
"Angel von Matterand",2011,"m"
"Angellina",2018,"w"
"Angi",2017,"w"
"Angie",2014,"w"
"Angle",2009,"w"
"Angret Aleah of Elderflowers",2018,"w"
"Angus (Rowan)",2015,"m"
"Angélina",2013,"w"
"Anik",2013,"w"
"Anisette (Sasha)",2016,"w"
"Anjo",2014,"m"
"Anjo",2015,"m"
"Anna",2013,"w"
"Anna",2008,"w"
"Anna (chilchil v Montfortwald)",2016,"w"
"Annabella",2015,"w"
"Annabelle",2011,"w"
"Annuk",2018,"m"
"Anouk",2014,"w"
"Anouk",2017,"w"
"Anouk vom Leukergrund",2012,"w"
"Antares",2009,"m"
"Anthony ""Lilo""",2015,"m"
"Antonia",2010,"w"
"Anubis",2011,"m"
"Anubis",2015,"w"
"Anuk (vom Glashof)",2007,"w"
"Anya",2004,"w"
"Api",2017,"w"
"Apollo (Fläckli)",2016,"m"
"Apu",2012,"m"
"Aqua",2008,"w"
"Ara",2010,"w"
"Arabeska",2013,"w"
"Aragon",2010,"m"
"Aragon",2018,"m"
"Aragon of Shining Star",2015,"m"
"Aramis",2016,"m"
"Aramis",2006,"m"
"Aramis-Gaston",2017,"m"
"Arany Szivem Ferenc ",2018,"m"
"Araya vom Tannzapfenland",2015,"w"
"Arbataxa vom Huggerwald",2016,"w"
"Archi",2013,"m"
